role,cycle,recall,precision,mass_ratio,timing_absolute,event_time,recovery_fraction
P_E,1,0.882492113564669,0.9478460793804455,0.9310500225326723,0.0012999999999999678,0.2393,1.0
P_E,2,0.9885458167330675,0.8766699790217507,1.1276145418326695,0.007528571428571329,1.4908714285714286,1.0
D_E,1,0.896462370437134,0.9453486990614233,0.9482875168995044,0.003449999999999953,0.23715000000000003,1.0
D_E,2,0.9932768924302787,0.8755487269534676,1.1344621513944226,0.009039999999999937,1.48936,1.0
B_E,1,0.7929247408742678,0.9879281302638967,0.8026137899954936,0.015271428571428602,0.2558714285714286,1.0
B_E,2,0.7721613545816732,0.9934326445619093,0.7772659362549801,0.014971428571428635,1.5133714285714286,1.0
F_raw/network,1,0.8222172149616942,0.9199546199420141,0.8937584497521406,0.0033799999999999664,0.23722000000000001,1.0
F_raw/network,2,0.9755976095617529,0.9360888782702182,1.0422061752988052,0.0025285714285712135,1.4958714285714287,1.0
F_raw/projected,1,0.8222172149616942,0.9199546199420141,0.8937584497521406,0.0033799999999999664,0.23722000000000001,1.0
F_raw/projected,2,0.9755976095617529,0.9360888782702182,1.0422061752988052,0.0025285714285712135,1.4958714285714287,1.0
F_full/network,1,0.8306669671022986,0.9422364217252397,0.8815908066696713,0.0032999999999999696,0.2373,1.0
F_full/network,2,0.9365039840637452,0.9207981393071368,1.0170567729083666,0.0023200000000000998,1.50072,1.0
F_full/projected,1,0.8306669671022986,0.9422364217252397,0.8815908066696713,0.0032999999999999696,0.2373,1.0
F_full/projected,2,0.9365039840637452,0.9207981393071368,1.0170567729083666,0.0023200000000000998,1.50072,1.0
F_bal/network,1,0.8778729157278051,0.8874715261958994,0.9891843172600272,0.015324999999999978,0.225275,1.0
F_bal/network,2,0.9839392430278883,0.8965399886557001,1.0974850597609567,0.004890909090909057,1.493509090909091,1.0
F_bal/projected,1,0.8778729157278051,0.8874715261958994,0.9891843172600272,0.015324999999999978,0.225275,1.0
F_bal/projected,2,0.9839392430278883,0.8965399886557001,1.0974850597609567,0.004890909090909057,1.493509090909091,1.0
