arm,scope,S,Ephi,ET,EV,EI,bottom_current_NRMSE,power_trace_NRMSE
B0,window,0.008899868502475247,0.10222267892063042,0.010955653718149778,0.002034643145393356,0.010875342126990694,0.010875342126985928,0.010989354654614992
B0,outside,0.0007454645553691275,0.014267303448126692,0.011291353613643845,0.0005421132044743305,0.0035758242148036003,0.0035758242148013694,0.003170989550158267
B0,full,0.004039843749999999,0.06590074114488238,0.011156946981216097,0.001359273582296164,0.008167948804133603,0.008167948804129884,0.008166917910243179
D_E,window,0.00903078589108911,0.10349454482722072,0.01092403874366668,0.0020989304155469694,0.011335410304514695,0.011335410304513158,0.01144499688347401
D_E,outside,0.0007708945050335571,0.015044709195558649,0.011367801047546689,0.0007265430008586905,0.004961015419318514,0.0049610154193162285,0.00475562248569713
D_E,full,0.004107890625000001,0.06679965118622742,0.011190639850807484,0.0014472155926503023,0.008815845808802472,0.008815845808800833,0.0088353123136545
G,window,0.008748066212871289,0.10081835308284376,0.010955653718149778,0.00206751631479869,0.011093127185370132,0.011093127185372973,0.011185637691091224
G,outside,0.0007441537332214765,0.01418322935002433,0.011291353613643845,0.0005090773506963138,0.0034855961222588386,0.003485596122258975,0.0030279679845555546
G,full,0.003977734375,0.06500990101135505,0.011156946981216097,0.0013716439734969695,0.008297587297616815,0.008297587297618786,0.008276019294768993
N,window,0.005855314047029703,0.11034555000167763,0.010955653718149778,0.002034643145393356,0.010875342126990694,0.010875342126985928,0.010989354654614992
N,outside,0.0007454645553691275,0.014267303448126692,0.011291353613643845,0.0005421132044743305,0.0035758242148036003,0.0035758242148013694,0.003170989550158267
N,full,0.00280984375,0.07099633841620016,0.011156946981216097,0.001359273582296164,0.008167948804133603,0.008167948804129884,0.008166917910243179
S,window,0.007377204517326732,0.09708639729186941,0.010955653718149778,0.002034643145393356,0.010875342126990694,0.010875342126985928,0.010989354654614992
S,outside,0.0007454645553691275,0.014267303448126692,0.011291353613643845,0.0005421132044743305,0.0035758242148036003,0.0035758242148013694,0.003170989550158267
S,full,0.0034246875,0.06268436674817873,0.011156946981216097,0.001359273582296164,0.008167948804133603,0.008167948804129884,0.008166917910243179
