Role,Cycle,Power error (%),Signed energy error,Abs. signed integral,Integral abs. power error
B_E,1,1.7161501901023601,-0.0025073278801135968,0.0025073278801135968,0.0025077820992769066
B_E,2,2.3225300508531976,-0.004021300468336207,0.004021300468336207,0.004021300468336207
29/E/projected,1,1.3041358136987562,0.001334201551479042,0.001334201551479042,0.002070015751303522
29/E/projected,2,0.5731395988110763,-8.732944177549786e-05,8.732944177549786e-05,0.0009083218099155877
29/F_raw/projected,1,3.0031249358267207,0.004187958061194442,0.004187958061194442,0.0048958530819308635
29/F_raw/projected,2,1.4320522653211587,-0.0011245025183916452,0.0011245025183916452,0.002314614410555664
43/E/projected,1,0.8868608475969,0.0007098883702025456,0.0007098883702025456,0.001428241314619598
43/E/projected,2,0.3658846043555066,-4.44735930692092e-06,4.44735930692092e-06,0.000621460215345801
43/F_raw/projected,1,3.5564028015323643,0.005116739511690159,0.005116739511690159,0.005626086515844897
43/F_raw/projected,2,2.577949594280611,-0.0040009857793666,0.0040009857793666,0.0040009857793666
