role,cycle,recall,precision,mass_ratio,timing_absolute,event_time,recovery_fraction
E0,1,0.8654799459215865,0.7934311092749429,1.0908066696710237,0.03166666666666665,0.20893333333333333,1.0
E0,2,0.9711155378486055,0.924718435091879,1.0501743027888446,0.0046800000000000175,1.49372,1.0
D_E,1,0.896462370437134,0.9453486990614233,0.9482875168995044,0.003449999999999953,0.23715000000000003,1.0
D_E,2,0.9932768924302787,0.8755487269534676,1.1344621513944226,0.009039999999999937,1.48936,1.0
P_E,1,0.882492113564669,0.9478460793804455,0.9310500225326723,0.0012999999999999678,0.2393,1.0
P_E,2,0.9885458167330675,0.8766699790217507,1.1276145418326695,0.007528571428571329,1.4908714285714286,1.0
B_E,1,0.7929247408742678,0.9879281302638967,0.8026137899954936,0.015271428571428602,0.2558714285714286,1.0
B_E,2,0.7721613545816732,0.9934326445619093,0.7772659362549801,0.014971428571428635,1.5133714285714286,1.0
F_raw/network,1,0.8222172149616942,0.9199546199420141,0.8937584497521406,0.0033799999999999664,0.23722000000000001,1.0
F_raw/network,2,0.9755976095617529,0.9360888782702182,1.0422061752988052,0.0025285714285712135,1.4958714285714287,1.0
F_raw/projected,1,0.8222172149616942,0.9199546199420141,0.8937584497521406,0.0033799999999999664,0.23722000000000001,1.0
F_raw/projected,2,0.9755976095617529,0.9360888782702182,1.0422061752988052,0.0025285714285712135,1.4958714285714287,1.0
F_bal/network,1,0.8778729157278051,0.8874715261958994,0.9891843172600272,0.015324999999999978,0.225275,1.0
F_bal/network,2,0.9839392430278883,0.8965399886557001,1.0974850597609567,0.004890909090909057,1.493509090909091,1.0
F_bal/projected,1,0.8778729157278051,0.8874715261958994,0.9891843172600272,0.015324999999999978,0.225275,1.0
F_bal/projected,2,0.9839392430278883,0.8965399886557001,1.0974850597609567,0.004890909090909057,1.493509090909091,1.0
V29_D_C,1,0.8991662911221271,0.9441618360345441,0.952343397926994,0.0040749999999999675,0.236525,1.0
V29_D_C,2,0.997260956175299,0.876655357338295,1.137574701195219,0.008957142857142886,1.489442857142857,1.0
V29_P1,1,0.9024335286164942,0.9447983014862,0.955159981973862,0.003879999999999967,0.23672,1.0
V29_P1,2,0.9966384462151395,0.8783190695633092,1.134711155378486,0.00863333333333327,1.4897666666666667,1.0
V29_P_kappa,1,0.902884182063993,0.9397279549718577,0.960793150067598,0.0046444444444443955,0.23595555555555559,1.0
V29_P_kappa,2,0.9958914342629482,0.8817239858906527,1.1294820717131473,0.007637499999999964,1.4907625,1.0
